TAXISYA,id de la empresa, 543
TSO160, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TSO160, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TEP425, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TEP425, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TAT067, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TAT067, 2
,,2018-01-22 11:20:41,0,0,F,NULL
SMS449, 2
,,2018-01-22 10:05:48,0,0,F,NULL
SMS449, 2
,,2018-01-22 11:20:41,0,0,F,NULL
SHK468, 2
,,2018-01-22 10:05:48,0,0,F,NULL
SHK468, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TSO981, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TSO981, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VDS386, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VDS386, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VDR248, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VDR248, 2
,,2018-01-22 11:20:41,0,0,F,NULL
SWS322, 2
,,2018-01-22 10:05:48,0,0,F,NULL
SWS322, 2
,,2018-01-22 11:20:41,0,0,F,NULL
SXN941, 2
,,2018-01-22 10:05:48,0,0,F,NULL
SXN941, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VEV047, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VEV047, 2
,,2018-01-22 11:20:41,0,0,F,NULL
SIB810, 2
,,2018-01-22 10:05:48,0,0,F,NULL
SIB810, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VEB939, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VEB939, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VEF196, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VEF196, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TSO465, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TSO465, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VEO894, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VEO894, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VEB901, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VEB901, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VEY035, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VEY035, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VFD030, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VFD030, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TSN233, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TSN233, 2
,,2018-01-22 11:20:41,0,0,F,NULL
VEI938, 2
,,2018-01-22 10:05:48,0,0,F,NULL
VEI938, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TUP213, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TUP213, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TUN935, 2
,,2018-01-22 10:05:48,0,0,F,NULL
TUN935, 2
,,2018-01-22 11:20:41,0,0,F,NULL
TSO871, 2
